Selection;Dimensions;num Threads;Time;L1 DCM;L2 DCM
3;600;1;0.192151;258217385;34800916
3;600;1;0.183475;258041226;34588172
3;600;1;0.183004;258040320;34582302
3;1000;1;1.31395;1130967449;129903585
3;1000;1;1.23127;1130922267;128386997
3;1000;1;1.05621;1130868800;125537155
3;1400;1;4.50735;3098756030;344911832
3;1400;1;4.46376;3098680876;344440584
3;1400;1;4.47205;3098744702;344590867
3;1800;1;9.51149;6590304384;737788240
3;1800;1;9.48733;6593600379;738236032
3;1800;1;9.48629;6593423824;738317062
3;2200;1;17.5886;12009997439;1341038542
3;2200;1;17.5339;12009843580;1341784337
3;2200;1;17.5684;12010044889;1341907016
3;2600;1;29.4621;19814438191;2236287314
3;2600;1;29.5082;19814532724;2262415261
3;2600;1;29.678;19814325544;2244563557
3;3000;1;46.2359;30433500862;3464998259
3;3000;1;46.3064;30433986355;3471213257
3;3000;1;46.4758;30433367682;3459870807
3;600;2;0.0976619;129073817;17281365
3;600;2;0.0918955;129104362;17337803
3;600;2;0.0926176;125551142;17784980
3;1000;2;0.532915;565561765;62851198
3;1000;2;0.539958;566051143;62904848
3;1000;2;0.534506;566052954;62914993
3;1400;2;2.05179;1549969532;172500727
3;1400;2;2.04043;1550499700;172435153
3;1400;2;2.02537;1550523981;172435661
3;1800;2;4.32358;3294933598;369675363
3;1800;2;4.29911;3296743456;369271366
3;1800;2;4.29405;3296748052;369285064
3;2200;2;7.9553;6005869294;670926696
3;2200;2;7.94626;6005873556;670966927
3;2200;2;7.94673;6005915199;670853940
3;2600;2;13.1712;9908144885;1119350621
3;2600;2;13.1559;9908059851;1117369088
3;2600;2;13.1738;9908128118;1117332847
3;3000;2;20.3333;15218217429;1725276323
3;3000;2;20.3269;15218094929;1716093275
3;3000;2;20.3498;15218427831;1722484594
3;600;3;0.089133;86059487;11548406
3;600;3;0.0886366;74706176;9082561
3;600;3;0.0885011;81653540;9082420
3;1000;3;0.484876;377805387;42038048
3;1000;3;0.376634;377574274;42135050
3;1000;3;0.372597;378172146;42086489
3;1400;3;1.29339;1034344360;115055823
3;1400;3;1.30407;1034576571;115157326
3;1400;3;1.30213;1034579538;115149036
3;1800;3;2.78793;2196716908;246390990
3;1800;3;2.77758;2197929537;246558475
3;1800;3;2.7804;2197862893;246636810
3;2200;3;5.14996;4008010892;448586191
3;2200;3;5.15569;4008017052;448537680
3;2200;3;5.16702;4008035414;448538985
3;2600;3;8.5033;6608549916;747299925
3;2600;3;8.50539;6608460636;747381555
3;2600;3;8.49842;6608401190;748219033
3;3000;3;13.1197;10146050703;1153965085
3;3000;3;13.1511;10145957086;1158290020
3;3000;3;13.1934;10145999942;1160581377
3;600;4;0.0779354;61162333;6796291
3;600;4;0.0678725;61262868;6831002
3;600;4;0.0482413;64665744;8718024
3;1000;4;0.281217;282885481;31496233
3;1000;4;0.285982;283157046;31554402
3;1000;4;0.283379;283161173;31554446
3;1400;4;0.967857;775302350;86306160
3;1400;4;0.97577;775499138;86412059
3;1400;4;0.977346;775470501;86454818
3;1800;4;2.09612;1647727031;185455878
3;1800;4;2.07844;1648513368;185434871
3;1800;4;2.08054;1648540946;185523278
3;2200;4;3.84018;3003526325;337631109
3;2200;4;3.83551;3003540002;337323009
3;2200;4;3.93291;3003543649;337287389
3;2600;4;6.34996;4954882254;567032621
3;2600;4;6.35091;4954861488;566560381
3;2600;4;6.36744;4954906368;566470919
3;3000;4;9.80441;7610070528;887970501
3;3000;4;9.7772;7610040514;877646911
3;3000;4;10.2128;7610123872;929184346
4;600;1;0.0703025;27151542;918673
4;600;1;0.0731858;27266694;974521
4;600;1;0.0711299;27265265;894948
4;1000;1;0.585554;125811174;21633083
4;1000;1;0.567111;125983970;19720881
4;1000;1;0.5439;125924181;35532545
4;1400;1;1.69373;346067907;207143380
4;1400;1;1.68899;345654700;206156786
4;1400;1;1.65483;345589310;202431710
4;1800;1;3.00828;746949476;437090153
4;1800;1;2.6137;747760074;425293289
4;1800;1;2.60451;752323260;424579814
4;2200;1;5.00682;2083107148;763346668
4;2200;1;5.00054;2083355351;762965505
4;2200;1;5.00242;2053457040;764531945
4;2600;1;8.62577;4420707341;1197558493
4;2600;1;8.62914;4420448552;1196958996
4;2600;1;8.60114;4391851036;1197010627
4;3000;1;13.205;6811652852;1857042073
4;3000;1;13.2044;6811606442;1857002884
4;3000;1;13.2124;6811003253;1856720106
4;600;2;0.0347799;13594747;431639
4;600;2;0.0333656;13690615;424767
4;600;2;0.0332676;13698155;422349
4;1000;2;0.180743;62965416;7022934
4;1000;2;0.1806;63116998;7859651
4;1000;2;0.182391;63119043;8183081
4;1400;2;0.662531;172683097;106782603
4;1400;2;0.665946;172920932;108250954
4;1400;2;0.666021;174422390;109199382
4;1800;2;1.41021;375066311;231823535
4;1800;2;1.42334;375426394;229417030
4;1800;2;1.41578;374801338;224785797
4;2200;2;2.65809;1040916968;394603541
4;2200;2;2.67343;1027497911;393609387
4;2200;2;2.67603;1035787149;392611776
4;2600;2;4.59636;2173840535;615051759
4;2600;2;4.60811;2216888403;610866223
4;2600;2;4.61331;2174546451;613656189
4;3000;2;7.07352;3405649218;940024659
4;3000;2;7.1657;3404341240;945998312
4;3000;2;7.06845;3405040732;939306113
4;600;3;0.0242073;9076346;272892
4;600;3;0.0233488;9172182;342801
4;600;3;0.0232426;9172211;336038
4;1000;3;0.132522;42184861;7782361
4;1000;3;0.131354;42302616;8541692
4;1000;3;0.131243;42302440;8564503
4;1400;3;0.468066;115408923;73655698
4;1400;3;0.472632;116495298;74916149
4;1400;3;0.473445;116623487;74725734
4;1800;3;0.99481;249960258;158288271
4;1800;3;0.993711;250923520;157892271
4;1800;3;0.994605;252634617;158050789
4;2200;3;1.87392;694461788;275929511
4;2200;3;1.87042;694536831;275295862
4;2200;3;1.88125;694368171;275721004
4;2600;3;3.19914;1465081515;427966978
4;2600;3;3.22085;1470275952;424834806
4;2600;3;3.20386;1479442612;425270808
4;3000;3;4.90472;2270981167;656437388
4;3000;3;4.92303;2270822805;655837925
4;3000;3;4.91037;2271303956;652597637
4;600;4;0.0321609;6816401;205167
4;600;4;0.0315036;6913099;245132
4;600;4;0.0310937;6912975;244704
4;1000;4;0.12469;31604764;4161701
4;1000;4;0.101603;31746665;6365929
4;1000;4;0.102586;31751221;6369038
4;1400;4;0.370122;86684061;54661944
4;1400;4;0.374166;86914337;55640641
4;1400;4;0.372822;86891575;55860021
4;1800;4;0.787893;189100770;117020844
4;1800;4;0.786232;187963211;118251081
4;1800;4;0.784167;188400409;118352210
4;2200;4;1.48413;521783240;206297910
4;2200;4;1.46807;505456065;209933603
4;2200;4;1.46519;520403244;206538101
4;2600;4;2.51129;1085864089;323904617
4;2600;4;2.49726;1109753952;322833250
4;2600;4;2.51475;1109762680;324439559
4;3000;4;3.81599;1703998682;499022329
4;3000;4;3.83872;1703440728;497510681
4;3000;4;3.82548;1703412215;496129219
